_id,_rev,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.url,user.description,user.translator_type,user.protected,user.verified,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.statuses_count,user.created_at,user.utc_offset,user.time_zone,user.geo_enabled,user.lang,user.contributors_enabled,user.is_translator,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities.hashtags,entities.urls,entities.user_mentions,entities.symbols,favorited,retweeted,possibly_sensitive,filter_level,lang,timestamp_ms
1351327665882607616,1-b419b66072e11fc1792ff7a3d02dc9f4,Tue Jan 19 00:36:36 +0000 2021,1351327665882607616,1351327665882607616,RT @Dunkeyshspittle: RT to scare Mario Kart devs https://t.co/9UdfFtSiCv,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1066380758112194560,1066380758112194560,Miles,Milesprower3594,Minecraft Steve,http://www.twitch.tv/supsonic115,Anime Wakko (he/him),none,false,false,91,471,8,89126,6839,Sat Nov 24 17:19:19 +0000 2018,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1342280797798203393/luYFgo0f_normal.jpg,https://pbs.twimg.com/profile_images/1342280797798203393/luYFgo0f_normal.jpg,https://pbs.twimg.com/profile_banners/1066380758112194560/1604111561,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""Dunkeyshspittle"",""name"":""Donkeyshspittle (COMMISSIONS!)"",""id"":3375863113,""id_str"":""3375863113"",""indices"":[3,19]}]",[],false,false,true,low,en,1611016596657
1351327719456464896,1-8b254d0a596984b16aa5cf32c496bad0,Tue Jan 19 00:36:49 +0000 2021,1351327719456464896,1351327719456464896,RT @euuworst: le tweet me tabaaaaaaaaaaasssse,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1158957125793734656,1158957125793734656,Hokage Sama ⁷ Maîtresse du drame 🥷🏾💞.,Taiina_971,Konoha / Shinganshina,https://instagram.com/taiina_e?igshid=3ei145i0javh,"( je suis gémeaux, bata indienne et j’aime la kpop ❤️ ) #blacklivesmatter Je fais des gâteaux ! https://instagram.com/cakesbytaina?igshid=5v6255tct45h",none,false,false,835,402,0,105442,43261,Wed Aug 07 04:24:45 +0000 2019,null,null,true,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1350883480784281601/7pNtVOpE_normal.jpg,https://pbs.twimg.com/profile_images/1350883480784281601/7pNtVOpE_normal.jpg,https://pbs.twimg.com/profile_banners/1158957125793734656/1610331305,true,false,null,null,null,null,null,null,null,true,0,0,0,0,[],[],"[{""screen_name"":""euuworst"",""name"":""Ti chabin 972 rpzt"",""id"":882820168249901000,""id_str"":""882820168249901056"",""indices"":[3,12]}]",[],false,false,,low,fr,1611016609430
1351327725437509634,1-1aa1cc6c6e3604bc88bd50bf9370f481,Tue Jan 19 00:36:50 +0000 2021,1351327725437509634,1351327725437509634,"RT @MarioKartTunes: Mario / Luigi / Yoshi Circuit
Game: Mario Kart Double Dash!!
#MarioKart #Nintendo https://t.co/LZP34gYnAy","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",false,null,null,null,null,null,914983895669657600,914983895669657600,Mr.C-NES,Mr_C_NES,"Emerald Coast, Station Square",null,"I am bad, and that's good. I will never be good and that's not bad. There is no one I'd rather be, than me.",none,false,false,70,466,0,118377,12289,Mon Oct 02 22:42:15 +0000 2017,null,null,false,null,false,false,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,FF691F,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1344731667580260353/0zj1AKLX_normal.jpg,https://pbs.twimg.com/profile_images/1344731667580260353/0zj1AKLX_normal.jpg,https://pbs.twimg.com/profile_banners/914983895669657600/1593588016,false,false,null,null,null,null,null,null,null,false,0,0,0,0,"[{""text"":""MarioKart"",""indices"":[81,91]},{""text"":""Nintendo"",""indices"":[92,101]}]",[],"[{""screen_name"":""MarioKartTunes"",""name"":""🎵The Mario Kart Jukebox🎵"",""id"":1267140291720601600,""id_str"":""1267140291720601601"",""indices"":[3,18]}]",[],false,false,false,low,ro,1611016610856
1351327840193695747,1-51a4549b9181ba72ff73bcdc50d459a2,Tue Jan 19 00:37:18 +0000 2021,1351327840193695747,1351327840193695747,RT @1N3SDC: i get reallllllll disrespectful when i play mario kart,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1325488465,1325488465,👼🏾 ✧ angel face ✧ 👼🏾,spoiledmani,in ur head🥰,null,"𝒜𝓂𝑒𝓇𝒾𝒸𝒶’𝓈 𝒮𝓌𝑒𝑒𝓉𝒽𝑒𝒶𝓇𝓉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ God, bless these 20 somethings💌",none,false,false,523,522,0,28363,14213,Wed Apr 03 21:29:36 +0000 2013,null,null,true,null,false,false,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,false,F5ABB5,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1320574252236627968/Av4HCVL9_normal.jpg,https://pbs.twimg.com/profile_images/1320574252236627968/Av4HCVL9_normal.jpg,https://pbs.twimg.com/profile_banners/1325488465/1610650185,false,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""1N3SDC"",""name"":""🤤"",""id"":1323156454635835400,""id_str"":""1323156454635835394"",""indices"":[3,10]}]",[],false,false,,low,en,1611016638216
1351327853183287296,1-df553b20dbf5c01037b19331154eca26,Tue Jan 19 00:37:21 +0000 2021,1351327853183287296,1351327853183287296,"RT @emihead: OH MY GOD I FOUND A FUCKING MARIO KART TOUR BOT NAMED SHARTMASTER. I REPEAT, IN THEIR AGES 4+ FREE MOBILE GAME, NINTENDO HAS O…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1343674022932795392,1343674022932795392,irene,serenegracie_,idk lol,http://issuesintheworld.carrd.co,musician c:,none,false,false,16,192,2,1750,560,Mon Dec 28 21:43:53 +0000 2020,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1344588116963692547/THBU0cR4_normal.jpg,https://pbs.twimg.com/profile_images/1344588116963692547/THBU0cR4_normal.jpg,https://pbs.twimg.com/profile_banners/1343674022932795392/1609193013,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""emihead"",""name"":""ᅟ"",""id"":846146669976731600,""id_str"":""846146669976731648"",""indices"":[3,11]}]",[],false,false,,low,en,1611016641313
1351327904148426753,1-2be45457d152fbe5cca3fe54fa169636,Tue Jan 19 00:37:33 +0000 2021,1351327904148426753,1351327904148426753,I might cop,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,73289772,73289772,Groovy Glover,ClicheRight_PC,"Panama City, FL",null,#TGOD #SkilledInTheArtofTheFly |IG: GloverManCan,none,false,false,2468,2646,17,7152,168955,Fri Sep 11 02:40:26 +0000 2009,null,null,true,null,false,false,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,true,FA0303,FFFFFF,252429,666666,true,http://pbs.twimg.com/profile_images/1327026941929672705/nR6zx1Zi_normal.jpg,https://pbs.twimg.com/profile_images/1327026941929672705/nR6zx1Zi_normal.jpg,https://pbs.twimg.com/profile_banners/73289772/1560189409,false,false,null,null,null,null,null,null,null,true,0,0,0,0,[],[],[],[],false,false,,low,en,1611016653464
1351327968317087745,1-b9a0aa4c52069650a08e39be6ea13976,Tue Jan 19 00:37:48 +0000 2021,1351327968317087745,1351327968317087745,"RT @boxnotfound: dear feral boys,

might you consider playing mario kart, gang beasts, pummel party, overcooked, cards against humanity, or…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1206227370270756864,1206227370270756864,daniela minecraft :D,danielamart06,null,null,we just chillin in cedar rapids,none,false,false,24,96,0,16075,2084,Sun Dec 15 15:00:02 +0000 2019,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1342561369019850752/jCjfXifv_normal.jpg,https://pbs.twimg.com/profile_images/1342561369019850752/jCjfXifv_normal.jpg,https://pbs.twimg.com/profile_banners/1206227370270756864/1610392160,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""boxnotfound"",""name"":""tara ??"",""id"":1227460147066409000,""id_str"":""1227460147066408960"",""indices"":[3,15]}]",[],false,false,,low,en,1611016668763
1351328044783431682,1-563c1557c60c7310c38c10f9ecb43e93,Tue Jan 19 00:38:06 +0000 2021,1351328044783431682,1351328044783431682,"RT @boxnotfound: dear feral boys,

might you consider playing mario kart, gang beasts, pummel party, overcooked, cards against humanity, or…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1283256688397758464,1283256688397758464,angel💙,angelisdreaming,any prnous • minor,null,#Quackity: he’s going to start barking and shit || banner - @itsjennaaaa_,none,false,false,1178,1282,92,67920,18529,Wed Jul 15 04:27:03 +0000 2020,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1350537151822311426/aiCiEpgt_normal.jpg,https://pbs.twimg.com/profile_images/1350537151822311426/aiCiEpgt_normal.jpg,https://pbs.twimg.com/profile_banners/1283256688397758464/1610956830,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""boxnotfound"",""name"":""tara ??"",""id"":1227460147066409000,""id_str"":""1227460147066408960"",""indices"":[3,15]}]",[],false,false,,low,en,1611016686994
1351328052811218946,1-181b530e2ba2571a5650d4859b950821,Tue Jan 19 00:38:08 +0000 2021,1351328052811218946,1351328052811218946,RT @CatVibesTo: Berlin Byways - Mario Kart Tour BGM https://t.co/tV8lPD5n4q,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1228940176103051265,1228940176103051265,Rail166,rail166,null,null,SICKLE PLUS HAMMER EQUALS A BIG DOWN FALL,none,false,false,7,149,0,6786,6643,Sun Feb 16 07:12:39 +0000 2020,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1228940323897802752/-c8vc7JM_normal.jpg,https://pbs.twimg.com/profile_images/1228940323897802752/-c8vc7JM_normal.jpg,,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""CatVibesTo"",""name"":""Cat Vibes To"",""id"":1316453529058328600,""id_str"":""1316453529058328576"",""indices"":[3,14]}]",[],false,false,true,low,ht,1611016688908
1351328083916193793,1-e9970a413f95146e3f66657e450a0c76,Tue Jan 19 00:38:16 +0000 2021,1351328083916193793,1351328083916193793,"RT @boxnotfound: dear feral boys,

might you consider playing mario kart, gang beasts, pummel party, overcooked, cards against humanity, or…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1343787742103105536,1343787742103105536,snozzles501,snozzles501,null,null,yeaheyah she/her,none,false,false,2,67,0,7097,419,Tue Dec 29 05:16:10 +0000 2020,null,null,false,null,false,false,F5F8FA,,,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1343788021502513153/o6egzGtw_normal.jpg,https://pbs.twimg.com/profile_images/1343788021502513153/o6egzGtw_normal.jpg,,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""boxnotfound"",""name"":""tara ??"",""id"":1227460147066409000,""id_str"":""1227460147066408960"",""indices"":[3,15]}]",[],false,false,,low,en,1611016696324
